n_palabra;n_bloque;palabra;inicio_s;fin_s;duracion_s;inicio_hms;fin_hms;probabilidad
346;36;Central;115.380;115.540;0.160;00:01:55.380;00:01:55.540;1.0000
347;36;los;115.540;116.160;0.620;00:01:55.540;00:01:56.160;0.9263
348;36;riesgos;116.160;116.580;0.420;00:01:56.160;00:01:56.580;0.9990
349;36;para;116.580;116.740;0.160;00:01:56.580;00:01:56.740;0.9985
350;36;el;116.740;116.880;0.140;00:01:56.740;00:01:56.880;0.9937
351;36;crecimiento;116.880;117.500;0.620;00:01:56.880;00:01:57.500;0.9248
352;36;y;117.500;117.740;0.240;00:01:57.500;00:01:57.740;0.9930
353;36;la;117.740;117.900;0.160;00:01:57.740;00:01:57.900;0.9060
354;36;inflación.;117.900;118.340;0.440;00:01:57.900;00:01:58.340;1.0000
355;37;Finalmente,;119.320;119.840;0.520;00:01:59.320;00:01:59.840;0.5229
356;37;el;119.840;119.940;0.100;00:01:59.840;00:01:59.940;0.9985
357;37;viernes;119.940;120.300;0.360;00:01:59.940;00:02:00.300;0.9995
358;37;cerramos;120.300;120.580;0.280;00:02:00.300;00:02:00.580;0.9697
359;37;con;120.580;120.840;0.260;00:02:00.580;00:02:00.840;0.9995
360;37;las;120.840;120.960;0.120;00:02:00.840;00:02:00.960;0.9985
361;37;finanzas;120.960;121.360;0.400;00:02:00.960;00:02:01.360;0.9844
362;37;públicas;121.360;121.820;0.460;00:02:01.360;00:02:01.820;1.0000
363;37;de;121.820;121.920;0.100;00:02:01.820;00:02:01.920;0.9951
364;37;julio.;121.920;122.300;0.380;00:02:01.920;00:02:02.300;0.9980
365;38;Para;122.440;122.960;0.520;00:02:02.440;00:02:02.960;0.9927
366;38;dimensionar,;122.960;123.720;0.760;00:02:02.960;00:02:03.720;0.9990
367;38;7;123.740;124.340;0.600;00:02:03.740;00:02:04.340;0.9297
368;38;de;124.340;124.500;0.160;00:02:04.340;00:02:04.500;0.9985
369;38;cada;124.500;124.660;0.160;00:02:04.500;00:02:04.660;1.0000
370;38;10;124.660;124.940;0.280;00:02:04.660;00:02:04.940;0.9941
371;38;pesos;124.940;125.160;0.220;00:02:04.940;00:02:05.160;0.9990
372;38;del;125.160;125.360;0.200;00:02:05.160;00:02:05.360;0.9990
373;38;ingreso;125.360;125.680;0.320;00:02:05.360;00:02:05.680;0.9990
374;38;público;125.680;126.060;0.380;00:02:05.680;00:02:06.060;0.9995
375;38;salen;126.060;127.040;0.980;00:02:06.060;00:02:07.040;0.9971
376;38;de;127.040;127.200;0.160;00:02:07.040;00:02:07.200;0.9995
377;39;los;127.200;127.340;0.140;00:02:07.200;00:02:07.340;1.0000
378;39;impuestos;127.340;127.820;0.480;00:02:07.340;00:02:07.820;1.0000
379;39;que;127.820;128.020;0.200;00:02:07.820;00:02:08.020;0.9995
380;39;pagamos,;128.020;128.480;0.460;00:02:08.020;00:02:08.480;1.0000
381;39;donde;128.540;128.940;0.400;00:02:08.540;00:02:08.940;0.9980
382;39;el;128.940;129.120;0.180;00:02:08.940;00:02:09.120;0.9995
383;39;ISR;129.120;129.560;0.440;00:02:09.120;00:02:09.560;0.9849
384;39;aporta;129.560;130.000;0.440;00:02:09.560;00:02:10.000;1.0000
385;39;4;130.000;130.280;0.280;00:02:10.000;00:02:10.280;1.0000
386;39;de;130.280;130.500;0.220;00:02:10.280;00:02:10.500;1.0000
387;39;cada;130.500;130.680;0.180;00:02:10.500;00:02:10.680;1.0000
388;39;10.;130.680;131.000;0.320;00:02:10.680;00:02:11.000;1.0000
389;40;Por;131.220;131.640;0.420;00:02:11.220;00:02:11.640;0.9980
390;40;eso,;131.640;131.920;0.280;00:02:11.640;00:02:11.920;1.0000
391;40;así;132.000;132.320;0.320;00:02:12.000;00:02:12.320;0.9995
392;40;como;132.320;132.560;0.240;00:02:12.320;00:02:12.560;0.9995
393;40;le;132.560;132.700;0.140;00:02:12.560;00:02:12.700;0.9995
394;40;va;132.700;132.840;0.140;00:02:12.700;00:02:12.840;0.9985
395;40;a;132.840;132.900;0.060;00:02:12.840;00:02:12.900;0.8633
396;40;la;132.900;132.960;0.060;00:02:12.900;00:02:12.960;1.0000
397;40;economía,;132.960;133.540;0.580;00:02:12.960;00:02:13.540;1.0000
398;40;así;133.560;134.200;0.640;00:02:13.560;00:02:14.200;1.0000
399;40;le;134.200;134.360;0.160;00:02:14.200;00:02:14.360;1.0000
400;41;va;134.360;134.500;0.140;00:02:14.360;00:02:14.500;1.0000
401;41;a;134.500;134.760;0.260;00:02:14.500;00:02:14.760;1.0000
402;41;las;134.760;134.940;0.180;00:02:14.760;00:02:14.940;0.9995
403;41;finanzas;134.940;135.400;0.460;00:02:14.940;00:02:15.400;1.0000
404;41;públicas;135.400;135.920;0.520;00:02:15.400;00:02:15.920;0.9995
405;41;del;135.920;136.060;0.140;00:02:15.920;00:02:16.060;0.9966
406;41;gobierno.;136.060;136.300;0.240;00:02:16.060;00:02:16.300;0.9985
407;42;Si;136.540;136.720;0.180;00:02:16.540;00:02:16.720;0.9971
408;42;te;136.720;136.800;0.080;00:02:16.720;00:02:16.800;1.0000
409;42;interesan;136.800;137.200;0.400;00:02:16.800;00:02:17.200;0.9980
410;42;estos;137.200;137.380;0.180;00:02:17.200;00:02:17.380;0.9995
411;42;resúmenes;137.380;137.900;0.520;00:02:17.380;00:02:17.900;0.9995
412;42;semanales,;137.900;138.420;0.520;00:02:17.900;00:02:18.420;0.9990
413;42;síguenos;138.600;139.000;0.400;00:02:18.600;00:02:19.000;0.9995
414;42;en;139.000;139.180;0.180;00:02:19.000;00:02:19.180;1.0000
415;42;nuestras;139.180;139.320;0.140;00:02:19.180;00:02:19.320;0.9995
416;42;redes;139.320;139.580;0.260;00:02:19.320;00:02:19.580;1.0000
417;43;sociales;139.580;139.860;0.280;00:02:19.580;00:02:19.860;1.0000
418;43;para;139.860;140.260;0.400;00:02:19.860;00:02:20.260;0.9990
419;43;ir;140.260;140.420;0.160;00:02:20.260;00:02:20.420;0.9990
420;43;analizando;140.420;140.880;0.460;00:02:20.420;00:02:20.880;0.9995
421;43;dato;140.880;141.160;0.280;00:02:20.880;00:02:21.160;0.9932
422;43;por;141.160;141.380;0.220;00:02:21.160;00:02:21.380;0.9990
423;43;dato;141.380;141.640;0.260;00:02:21.380;00:02:21.640;0.9976
424;43;a;141.640;141.780;0.140;00:02:21.640;00:02:21.780;0.9814
425;43;la;141.780;141.820;0.040;00:02:21.780;00:02:21.820;1.0000
426;43;economía;141.820;142.260;0.440;00:02:21.820;00:02:22.260;1.0000
427;43;mexicana.;142.260;142.760;0.500;00:02:22.260;00:02:22.760;0.9995
428;44;Y;142.880;143.140;0.260;00:02:22.880;00:02:23.140;0.9697
429;44;visita;143.140;143.420;0.280;00:02:23.140;00:02:23.420;1.0000
430;44;mexicocomovamos;143.420;144.440;1.020;00:02:23.420;00:02:24.440;0.8330
431;44;.mx;144.440;145.200;0.760;00:02:24.440;00:02:25.200;1.0000
432;44;para;145.200;145.720;0.520;00:02:25.200;00:02:25.720;0.9990
433;44;nuestros;145.720;145.920;0.200;00:02:25.720;00:02:25.920;0.9980
434;44;análisis;145.920;146.520;0.600;00:02:25.920;00:02:26.520;1.0000
435;44;más;146.520;146.780;0.260;00:02:26.520;00:02:26.780;0.9980
436;44;especializados.;146.780;147.120;0.340;00:02:26.780;00:02:27.120;0.7749
437;45;Por;147.120;147.860;0.740;00:02:27.120;00:02:27.860;0.6558
438;45;ejemplo,;147.860;148.320;0.460;00:02:27.860;00:02:28.320;0.9995
439;45;la;148.400;148.660;0.260;00:02:28.400;00:02:28.660;0.9985
440;45;semana;148.660;148.920;0.260;00:02:28.660;00:02:28.920;0.9995
441;45;pasada;148.920;149.400;0.480;00:02:28.920;00:02:29.400;0.9990
442;45;publicamos;149.400;149.880;0.480;00:02:29.400;00:02:29.880;0.9971
443;45;uno;149.880;150.100;0.220;00:02:29.880;00:02:30.100;0.9072
444;45;exclusivamente;150.100;150.760;0.660;00:02:30.100;00:02:30.760;0.9976
445;46;sobre;150.760;151.400;0.640;00:02:30.760;00:02:31.400;0.9971
446;46;la;151.400;151.600;0.200;00:02:31.400;00:02:31.600;0.9985
447;46;informalidad;151.600;152.160;0.560;00:02:31.600;00:02:32.160;0.9980
448;46;laboral.;152.160;152.640;0.480;00:02:32.160;00:02:32.640;1.0000
449;47;Que;152.660;152.780;0.120;00:02:32.660;00:02:32.780;0.6895
450;47;tengas;152.780;153.160;0.380;00:02:32.780;00:02:33.160;1.0000
451;47;un;153.160;153.240;0.080;00:02:33.160;00:02:33.240;0.9995
452;47;excelente;153.240;153.780;0.540;00:02:33.240;00:02:33.780;1.0000
453;47;inicio;153.780;154.140;0.360;00:02:33.780;00:02:34.140;0.9990
454;47;de;154.140;154.180;0.040;00:02:34.140;00:02:34.180;1.0000
455;47;semana.;154.180;154.420;0.240;00:02:34.180;00:02:34.420;0.9995
